student_num,level,participation,midterm,pe,final,total,faculty,is_afast
A0000763U,48,3.5,40,14,73.5,71.90,,no
A0001183Y,54,3.5,50,24,64,76.10,FOS,nil
A0001484R,55,3.5,61.5,28.5,88,90.25,SOC,no
A0000480B,51,3,52,25,62,75.70,FOS,nil
A0000056A,50,3.5,39,19,66,72.20,FOE,nil
A0000603H,49,3,32,14,39,56.50,FOS,nil
A0000223L,50,5,22,6,21,45.80,FOS,nil
A0001215H,57,3.5,67,23.5,85,87.65,,no
A0001952R,48,3.5,25,8,30,48.50,FOS,nil
A0001888B,41,3,26,3,43.5,47.60,FOS,nil
A0001448R,52,3.5,48,12,61,68.50,SOC,nil
A0002138X,51,3,59,26,80,84.80,FOE,nil
A0001805X,54,3.5,60,27,77,84.80,FOS,nil
A0000469M,48,3,40,11.5,54,62.35,FOS,no
A0002046B,50,4,36,12.5,51,62.85,SOC,no
A0001067X,47,3,21,5,45,51.20,FOS,nil
A0000699A,50,3.5,55,23,62,75.80,FOS,nil
A0001730A,52,3,38,15.5,47,62.15,SOC,no
A0000249W,50,3.5,42,21,81,79.80,SOC,no
A0000530J,51,3.5,48,28,73.5,81.50,FOS,no
A0000310R,56,3.5,49,18,70,75.30,FOS,nil
A0000689E,49,2.5,32,13,,39.90,,yes
A0001820A,50,1.5,44,11,50,60.80,FOS,nil
A0001135E,50,3.5,60,21.5,74.5,81.05,FOS,no
A0000968E,53,3,72,23,91,90.30,SOC,no
A0000709U,50,3,56,15,74,76.30,FOS,nil
A0000154E,40,2,53,17.5,62.5,66.35,SOC,no
A0000838M,50,3.5,29,15,62,66.60,FOS,nil
A0000974L,52,3,44,22.5,69.5,75.85,FOS,no
A0000881R,54,4,59,22,73,81.00,SOC,nil
A0001396M,47,2.5,33,10,48,56.80,FOS,nil
